Team,SRS,SOS,Pace,OFF,FTR,EFG,TOV,ORB,DEF,Opp FTR,Opp EFG,Opp TOV,Opp ORB
Auburn,20.36,8.67,71.4,108.5,.316,.503,14.2,33.1,92.4,.348,.441,17.9,29.3
Austin Peay,-9.75,-3.12,66.1,96.5,.266,.478,18.0,29.5,103.2,.346,.529,18.7,30.0
Ball State,-7.75,-4.32,71.6,103.4,.374,.516,17.1,27.1,106.8,.323,.522,15.2,28.0
Baylor,21.98,9.11,68.5,111.2,.285,.529,15.3,36.3,92.5,.269,.478,20.1,28.4
Bellarmine,-3.41,-0.92,63.8,109.5,.217,.545,13.3,23.7,104.9,.280,.520,16.1,28.1
Belmont,6.77,-2.29,70.3,110.5,.266,.560,15.0,24.6,96.8,.235,.498,18.5,27.6
Bethune-Cookman,-14.47,-6.47,67.4,93.3,.287,.459,17.1,28.4,102.4,.343,.509,18.0,30.0
Binghamton,-10.35,-6.13,67.3,100.1,.230,.504,16.3,27.2,101.1,.299,.490,14.4,27.0
Boise State,12.59,5.35,65.0,104.5,.350,.516,16.0,30.6,92.4,.258,.480,18.1,21.6
Boston College,3.68,4.86,65.5,100.7,.296,.478,15.4,30.0,102.5,.315,.515,16.7,25.8
Boston University,-4.60,-7.85,65.6,107.5,.291,.526,16.0,31.2,101.6,.286,.502,15.2,24.3
Bowling Green State,-8.62,-4.25,74.4,107.1,.315,.498,14.1,30.7,107.4,.292,.523,15.4,29.1
Bradley,6.22,1.62,68.1,103.2,.279,.511,17.1,32.1,95.4,.310,.466,16.1,23.0
Brigham Young,10.56,5.43,69.2,106.6,.271,.522,15.9,31.0,97.6,.313,.474,13.9,22.4
Brown,-3.33,-1.93,69.7,101.8,.308,.497,16.4,29.4,99.7,.328,.505,17.9,27.2
Bryant,-4.74,-7.35,73.0,106.1,.322,.502,16.1,33.1,99.7,.250,.468,14.1,31.2
Bucknell,-14.61,-6.36,68.3,101.8,.283,.528,17.5,21.4,113.6,.229,.538,11.9,29.8
Buffalo,2.06,-3.05,72.5,110.3,.260,.520,15.3,37.2,99.7,.287,.474,14.5,27.7
Butler,4.66,9.37,64.9,97.2,.304,.480,16.1,26.7,101.9,.295,.493,15.0,27.7
Cal Poly,-10.23,-2.93,65.5,92.5,.368,.460,19.5,27.9,101.3,.365,.479,15.4,26.5
Cal State Bakersfield,-7.17,-1.61,65.6,98.9,.303,.456,15.1,33.6,101.1,.470,.509,18.9,25.2
Cal State Fullerton,0.25,-2.65,67.3,104.5,.359,.497,15.9,29.7,98.4,.260,.508,18.3,27.2
Cal State Northridge,-11.67,-1.06,65.7,92.5,.293,.448,16.1,27.0,107.1,.345,.515,17.0,32.5
California Baptist,-3.22,-3.22,69.5,101.7,.371,.512,17.6,28.5,96.4,.319,.467,15.4,26.3
UC Davis,-3.33,-3.92,67.9,99.3,.291,.493,16.2,26.0,97.2,.358,.472,17.0,28.5
UC Irvine,1.94,-0.58,66.1,100.3,.296,.488,17.7,30.7,91.3,.301,.432,15.6,26.7
UC Riverside,-0.57,-1.53,66.1,99.5,.268,.507,16.5,24.1,95.1,.273,.461,14.4,22.2
UC San Diego,-6.68,-3.42,68.5,102.0,.321,.528,16.7,18.5,102.5,.216,.516,15.6,27.1
UC Santa Barbara,1.71,-4.06,67.0,107.8,.374,.544,17.1,29.3,96.0,.296,.473,16.7,25.6
California,4.52,7.52,64.9,96.4,.253,.469,15.1,25.3,101.0,.315,.475,13.1,23.4
Campbell,-4.86,-5.78,63.9,102.7,.275,.519,14.6,22.2,96.2,.268,.494,16.8,24.2
Canisius,-7.84,-2.61,69.6,97.6,.299,.461,14.6,28.5,101.9,.315,.508,16.4,26.1
Central Arkansas,-13.57,-1.43,73.0,99.4,.227,.493,16.3,27.4,110.2,.299,.537,14.7,29.5
Central Connecticut State,-17.39,-7.05,66.2,92.2,.291,.460,18.1,26.3,107.6,.288,.529,16.3,31.8
Central Florida,6.32,4.72,68.1,102.2,.285,.499,16.5,30.8,99.9,.298,.487,17.8,30.8
Central Michigan,-12.27,-1.24,68.8,95.4,.305,.478,17.3,25.3,111.4,.361,.530,14.3,31.3
Charleston Southern,-17.59,-4.23,71.3,95.6,.304,.478,17.8,27.6,106.1,.297,.530,15.6,25.2
Charlotte,-1.55,-0.35,66.7,105.1,.280,.529,15.6,22.6,106.9,.265,.526,15.0,25.5
Chattanooga,5.93,-1.38,66.0,112.5,.267,.537,14.3,32.7,97.3,.259,.484,16.2,26.2
Chicago State,-13.91,-1.63,66.7,93.0,.294,.459,18.8,32.2,111.4,.384,.535,16.3,34.6
Cincinnati,7.55,4.39,68.6,101.2,.296,.470,13.1,29.9,96.1,.341,.451,15.7,29.2
The Citadel,-6.74,-1.91,71.0,106.0,.295,.533,14.9,25.4,106.1,.256,.495,12.4,27.4
Clemson,9.34,6.07,66.6,106.8,.298,.524,14.6,25.8,101.9,.291,.497,15.1,24.1
Cleveland State,-1.57,-5.44,68.7,107.5,.362,.534,16.7,33.8,99.8,.333,.490,18.9,31.1
Coastal Carolina,0.38,-2.81,67.4,106.8,.316,.514,16.5,34.9,94.9,.243,.449,15.3,28.6
Colgate,0.81,-6.98,67.8,111.7,.266,.562,14.7,26.4,98.6,.243,.484,14.3,24.8
College of Charleston,0.18,-1.57,74.3,104.5,.304,.503,17.6,35.9,102.1,.376,.512,17.1,25.0
Colorado State,12.24,4.86,65.9,111.0,.304,.555,13.8,22.0,99.0,.249,.499,16.5,24.8
Colorado,10.37,6.71,68.4,103.2,.347,.504,17.2,30.0,97.8,.270,.481,15.5,24.4
Columbia,-17.49,-4.61,71.0,94.5,.263,.490,18.7,27.3,110.5,.249,.545,14.7,27.9
Connecticut,17.19,7.16,67.1,109.9,.306,.496,14.4,37.9,95.2,.319,.457,15.6,27.5
Coppin State,-12.65,-4.90,74.4,90.0,.346,.460,17.6,20.1,100.4,.281,.493,18.1,32.0
Cornell,-3.39,-3.43,73.5,107.2,.303,.546,17.0,28.0,101.0,.295,.500,16.2,27.2
Creighton,11.42,8.33,68.1,100.7,.260,.509,18.0,28.6,96.2,.203,.448,13.3,28.5
Dartmouth,-4.01,-2.51,66.8,100.8,.241,.493,15.0,23.9,100.5,.280,.511,17.2,26.3
Davidson,10.49,1.68,66.1,113.8,.320,.561,13.4,23.8,99.0,.276,.490,15.1,21.7
Dayton,10.56,2.27,64.5,107.4,.304,.541,16.7,30.5,94.6,.234,.469,15.4,23.4
Delaware State,-22.55,-7.31,71.0,88.0,.306,.458,21.4,27.4,103.1,.328,.498,17.0,33.1
Delaware,0.07,-2.75,68.2,107.4,.339,.538,16.4,27.0,101.8,.285,.489,16.1,30.1
Denver,-9.63,-5.46,68.5,101.7,.318,.526,16.9,23.2,107.3,.318,.519,14.8,27.7
DePaul,8.12,7.02,70.4,103.7,.334,.488,14.8,31.7,102.2,.260,.488,14.6,28.5
Detroit Mercy,-6.11,-4.80,65.8,107.6,.229,.530,15.5,27.9,107.2,.299,.538,16.8,29.4
Dixie State,-8.20,-0.20,73.9,97.7,.346,.485,17.7,28.3,99.8,.290,.494,16.2,27.5
Drake,7.80,1.77,66.4,108.3,.290,.513,13.8,29.8,97.5,.325,.492,17.7,24.9
Drexel,-0.53,-2.14,68.0,106.1,.253,.525,14.1,25.3,102.4,.259,.504,14.2,25.6
Duke,19.18,6.15,68.3,116.9,.286,.556,12.9,31.8,97.9,.189,.470,13.8,28.5
Duquesne,-6.22,1.98,66.9,95.9,.219,.454,14.5,29.3,107.9,.219,.540,16.4,31.4
East Carolina,0.57,2.74,68.9,99.0,.335,.471,16.3,27.5,102.2,.310,.505,16.2,28.3
East Tennessee State,-2.61,-0.21,66.6,107.9,.229,.517,14.5,31.3,109.3,.256,.527,14.6,31.0
Eastern Illinois,-20.74,-3.64,66.6,84.6,.315,.457,21.6,21.7,106.8,.241,.529,16.1,33.3
Eastern Kentucky,-6.51,-5.13,73.0,106.5,.213,.503,13.3,29.7,100.8,.279,.532,20.6,30.7
Eastern Michigan,-10.58,-2.75,70.7,95.5,.303,.485,17.1,23.0,104.9,.293,.513,15.0,28.2
Eastern Washington,-5.00,-5.22,71.6,106.6,.336,.527,16.2,26.8,103.0,.301,.496,14.2,24.9
Elon,-6.47,1.07,67.3,99.8,.258,.501,17.1,25.8,107.4,.425,.500,14.3,28.5
Evansville,-10.56,1.79,64.2,90.3,.243,.475,16.0,14.3,108.0,.302,.561,16.2,21.2
Fairfield,-4.33,-4.55,65.5,102.5,.261,.500,14.6,27.8,99.7,.306,.476,14.9,27.7
Fairleigh Dickinson,-18.07,-6.14,70.4,94.6,.278,.464,16.9,27.7,111.4,.341,.538,15.6,34.1
Florida A&amp;M,-11.91,-6.48,67.2,95.9,.289,.468,16.2,26.2,101.5,.382,.485,16.2,33.6
Florida Atlantic,3.04,-1.66,68.6,107.7,.292,.529,16.3,31.6,98.5,.312,.502,17.6,24.8
Florida Gulf Coast,-2.41,-4.83,70.1,108.7,.290,.537,16.1,31.7,102.3,.241,.500,14.0,26.8
Florida International,-6.31,-3.11,69.0,100.6,.248,.511,17.4,27.0,101.1,.312,.492,16.4,29.6
Florida State,6.20,7.13,68.6,102.7,.303,.490,15.5,31.6,104.1,.304,.522,18.1,31.0
Florida,12.66,7.97,66.5,106.0,.343,.500,15.7,32.0,99.0,.300,.493,18.6,32.8
Fordham,-0.84,-0.16,68.6,94.8,.297,.457,16.5,27.0,95.8,.304,.480,17.3,26.2
Fresno State,8.76,3.05,61.8,102.6,.305,.501,15.8,27.9,92.9,.272,.479,17.6,21.9
Furman,6.22,-1.41,66.1,115.0,.226,.562,13.7,27.7,101.7,.243,.513,16.9,27.8
Gardner-Webb,-2.32,-4.39,69.7,99.7,.287,.509,17.2,25.3,92.0,.347,.448,16.8,22.2
George Mason,4.32,2.12,66.6,104.0,.291,.529,16.1,25.0,100.7,.296,.496,15.2,23.6
George Washington,-3.91,0.56,69.7,96.9,.260,.489,16.0,23.2,103.3,.293,.496,15.5,31.1
Georgetown,1.94,8.27,71.0,99.5,.290,.462,15.9,32.3,108.4,.276,.536,15.8,29.9
Georgia Southern,-6.93,-2.93,67.1,98.2,.303,.500,18.5,28.6,96.9,.338,.473,17.5,29.5
Georgia State,-1.22,-2.30,68.3,102.0,.293,.465,14.4,34.3,93.5,.309,.482,20.8,30.0
